date,Strategy,CVX_BuyHold,HYG_BuyHold,Equal_Weight
2022-04-12,107777.99239381836,167309.25880414585,96749.34910392702,132029.30395403644
2022-04-13,108062.58787944862,169942.50522220662,97327.67844643108,133635.09183431885
2022-04-14,108191.83052682984,169863.27840566836,96677.07782207993,133270.17811387414
2022-04-18,108316.62368307184,172140.16225160152,96520.43322769909,134330.2977396503
2022-04-19,108437.40159292144,170100.88858759665,96436.11673221081,133268.50265990372
2022-04-20,108554.53310632131,170793.8333780997,96737.33798051311,133765.58567930642
2022-04-21,105737.30405233389,162923.8349222321,96074.66941570259,129499.25216896736
2022-04-22,103569.56521370308,159330.38056803343,95496.32870978944,127413.35463891143
2022-04-25,101505.70420834255,155905.19975610086,96303.61938215782,126104.40956912935
2022-04-26,101008.41303097004,154954.81172915248,95737.26707284036,125346.03940099642
2022-04-27,100929.30034032368,154667.7682297655,95267.40715185697,124967.58769081123
2022-04-28,101009.7246891722,160161.89323633112,95797.56132150085,127979.72727891599
2022-04-29,98079.88238959189,155093.4147407904,94616.77811898309,124855.09642988675
2022-05-02,100002.82717510716,158142.45262684327,94622.84617944005,126382.64940314167
2022-05-03,101784.96735723045,160854.87316067744,95118.73967066113,127986.80641566929
2022-05-04,104523.21821766759,165903.57130246604,96086.3964538891,130994.98387817756
2022-05-05,104421.85957224411,164586.9129595924,94380.87374616144,129483.89335287691
2022-05-06,104792.78316817846,168972.35440842775,93848.68552628948,131410.51996735862
2022-05-09,100301.82013718422,157647.4519092345,92856.89286214276,125252.17238568864
2022-05-10,101376.5396421476,159162.0191911592,93389.09244542383,126275.55581829151
2022-05-11,102976.99273339889,161518.0947197874,92832.71152758763,127175.40312368752
2022-05-12,104054.82439944292,163052.54775699397,92796.42248064131,127924.48511881764
2022-05-13,105368.16743867836,166180.70705805533,92905.27825807121,129542.99265806327
2022-05-16,105470.68329372231,171269.00104119146,92772.22978267708,132020.61541193427
2022-05-17,105569.94453679863,172278.76526323945,92687.5553398023,132483.16030152087
2022-05-18,105666.24174337139,167737.48765264996,91925.51944415657,129831.50354840327
2022-05-19,105759.826441268,166539.75736919188,92542.41619713062,129541.08678316124
2022-05-20,105850.91764813663,167497.92754242104,92481.90036199277,129989.9139522069
2022-05-23,105939.70719775301,171390.45873732129,92844.81923997884,132117.63898865005
2022-05-24,106026.36406964727,172308.68173077042,93401.21152122412,132854.94662599725
2022-05-25,106111.03791541484,175073.4165572101,94816.35935463109,134944.8879559206
2022-05-26,106193.86194262088,176251.08541617004,96134.75912299936,136192.9222695847
2022-05-27,106253.70029460915,177937.8787977269,96993.54876538833,137465.71378155763
2022-05-31,105249.87738032122,174324.80219207075,96158.9290941454,135241.8656431081
2022-06-01,104410.44106412416,175981.59127148852,95803.1521187758,135892.37169513217
2022-06-02,104445.25936424333,175662.25977015088,96203.88274052701,135933.07125533896
2022-06-03,103130.06874142455,177259.18078066345,95487.49934092228,136373.34006079286
2022-06-06,102922.35667837923,176490.64552639896,94771.09321449934,135630.86937044916
2022-06-07,102870.75804742317,179854.16644342037,94989.66838845042,137421.9174159354
2022-06-08,102768.02803745476,180782.3850152753,94176.0994325568,137479.24222391605
2022-06-09,101352.54392424604,177179.30398802497,93423.2792616875,135301.29162485624
2022-06-10,101606.18770096217,175063.385844961,91832.63493821032,133448.01039158567
2022-06-13,104127.79443390829,167008.86444432224,88760.6054697088,127884.73495701552
2022-06-14,103956.7504204676,167228.4158308179,89343.44608562374,128285.93095822082
2022-06-15,105680.92558142636,163944.77170643496,91079.83181245466,127512.30175944482
2022-06-16,108996.93759362388,155181.65338812338,89634.84366676303,122408.24852744321
2022-06-17,112042.31882768532,148095.26260527637,89914.13353551111,119004.69807039373
2022-06-21,109052.31224668874,154293.32929528362,89853.44724923684,122073.38827226023
2022-06-22,111858.41950510869,147586.22591728755,89829.13523547711,118707.68057638232
2022-06-23,114281.19961975774,142156.65934770153,90472.70190959817,116314.68062864985
2022-06-24,113231.73882355462,144492.19036148684,91116.24585690105,117804.21810919394
